url,phone_numbers,social_media_links,addresses,error
http://davidprieto.realestate,+8184223831; 91316422; 8184223831,"{'facebook': ['https://www.facebook.com/DPREServices'], 'twitter': ['https://www.twitter.com/share'], 'linkedin': ['https://www.linkedin.com/in/david-prieto-0a908330'], 'instagram': [], 'youtube': []}","17404 Ventura Blvd. Unit 110, Encino, CA 91316; 18750 Keswick Street",
http://gygeneralservices.business.site,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,404 Client Error: Not Found for url: http://gygeneralservices.business.site/
http://kickitupquilting.com,,"{'facebook': ['https://www.facebook.com/KickItUpQuilting'], 'twitter': [], 'linkedin': [], 'instagram': ['https://www.instagram.com/kickitupquilting'], 'youtube': []}",,
http://koimountain.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,Not HTML content (type: )
http://pinolevistareimagined.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://seamuspuppy.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://aop3d.com,,"{'facebook': ['https://www.facebook.com/AOPthreeD'], 'twitter': [], 'linkedin': [], 'instagram': ['https://www.instagram.com/aop3d'], 'youtube': []}",,
http://off-trail.co,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': ['https://www.instagram.com/offtrail.co'], 'youtube': []}",,
http://proexecstaffing.com,7132482245,"{'facebook': ['https://www.facebook.com/proexecstaffing'], 'twitter': ['https://www.twitter.com/exec_pro'], 'linkedin': ['https://www.linkedin.com/company/pro-exec-staffing'], 'instagram': [], 'youtube': []}",,
http://stewartgrain.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://truyasushica.com,4082444534,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://yingtexun.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='yingtexun.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001DF6B087680>, 'Connection to yingtexun.com timed out. (connect timeout=15)'))"
http://camilluscusecamp.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://hyhp.org,,"{'facebook': ['https://www.facebook.com/hawaiiyhp'], 'twitter': [], 'linkedin': ['https://www.linkedin.com/company/hyhp'], 'instagram': ['https://www.instagram.com/hawaiiyhp'], 'youtube': []}",,
http://rrrobotictec.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='rrrobotictec.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B086BE0>: Failed to resolve 'rrrobotictec.com' ([Errno 11001] getaddrinfo failed)""))"
http://thebeautyteam.com,9089175233,"{'facebook': ['https://www.facebook.com/The-Beauty-Team-NJ-1524388267839855'], 'twitter': [], 'linkedin': ['https://www.linkedin.com/in/daniela-brozkova-3b084b9'], 'instagram': ['https://www.instagram.com/thebeautyteamnj'], 'youtube': []}",,
http://justgooglebenhiggins.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://onsa.net,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}","1270 Chemeketa Street N.E., Salem, OR 97301",
